name,category,age,supplier_url,product_cost_usd,shipping_usd,emoji,bg
فستان صيفي وردي بنقشة فراشات,بناتي,3-8 سنوات,https://aliexpress.com/item/1001,3.20,2.10,👗,linear-gradient(135deg,#f9d7e0,#fbe9ee)
تنورة تول حفلات مع فيونكة,بناتي,2-10 سنوات,https://cjdropshipping.com/p/1002,5.80,3.50,🎀,linear-gradient(135deg,#e8d5f2,#f5ecfb)
طقم قطن رياضي 3 قطع,أولادي,1-7 سنوات,https://aliexpress.com/item/1003,4.50,3.00,👕,linear-gradient(135deg,#d5e3f5,#e9f1fb)
جاكيت جينز عصري,أولادي,4-12 سنة,https://aliexpress.com/item/1004,6.90,4.20,🧥,linear-gradient(135deg,#cfe0ea,#e6eff5)
أطقم بودي قطن عضوي 5 قطع,حديثو الولادة,0-12 شهرًا,https://cjdropshipping.com/p/1005,7.40,4.80,🍼,linear-gradient(135deg,#fdeedd,#fdf4e7)
بطانية قماش محشوة ناعمة,حديثو الولادة,0-24 شهرًا,https://aliexpress.com/item/1006,4.10,3.20,🧸,linear-gradient(135deg,#f2e6d8,#faf3ea)
سنيكرز رياضي بإضاءة LED,أحذية,3-10 سنوات,https://aliexpress.com/item/1007,5.30,3.60,👟,linear-gradient(135deg,#ddeedd,#eef7ee)
بوت شتوي دافئ بطبقة فرو,أحذية,1-8 سنوات,https://cjdropshipping.com/p/1008,6.20,4.10,🥾,linear-gradient(135deg,#e3ddd3,#f4f0e9)
بيجاما فلانيل شتوية زوجين,ملابس نوم,2-12 سنة,https://aliexpress.com/item/1009,4.80,3.40,🌙,linear-gradient(135deg,#d9d7f0,#eceafb)
كيس نوم أطفال بغطاء رأس,ملابس نوم,0-3 سنوات,https://cjdropshipping.com/p/1010,8.10,5.20,⭐,linear-gradient(135deg,#fff3c9,#fffae8)
طقم قبعات وجوارب قطنية 8 قطع,إكسسوارات,0-4 سنوات,https://aliexpress.com/item/1011,2.40,1.60,🧦,linear-gradient(135deg,#f5d9d0,#fcede8)
حقيبة ظهر مدرسية مقاومة للماء,إكسسوارات,4-12 سنة,https://aliexpress.com/item/1012,5.60,3.80,🎒,linear-gradient(135deg,#d0e8f5,#e8f4fb)
فستان شتوي صوفي بناتي,بناتي,2-9 سنوات,https://cjdropshipping.com/p/1013,6.50,4.00,👗,linear-gradient(135deg,#e9d5e0,#f6ecf4)
تيشيرت كرتوني قطني,أولادي,2-8 سنوات,https://aliexpress.com/item/1014,2.80,2.00,👕,linear-gradient(135deg,#d5ecf5,#e9f6fc)
بنطلون رياضي مخطط جانبي,أولادي,3-10 سنوات,https://aliexpress.com/item/1015,3.60,2.60,🩳,linear-gradient(135deg,#dfe5f0,#eef2fa)
فستان مناسبات مع تطريز ذهبي,بناتي,3-10 سنوات,https://cjdropshipping.com/p/1016,8.90,4.50,👑,linear-gradient(135deg,#f3e3c0,#faf1dc)
طقم صوفي مواليد 4 قطع,حديثو الولادة,0-6 أشهر,https://aliexpress.com/item/1017,6.20,4.00,🧶,linear-gradient(135deg,#e8dfd5,#f7f2ea)
شبشب منزلي قطني ناعم,أحذية,1-6 سنوات,https://aliexpress.com/item/1018,1.90,1.40,🥿,linear-gradient(135deg,#e3f0e3,#f2f9f2)
روب حمام بغطاء حيوانات,ملابس نوم,0-5 سنوات,https://cjdropshipping.com/p/1019,5.40,3.80,🐻,linear-gradient(135deg,#f0ddc9,#faf0e4)
قبعة شمس صيفية بحافة عريضة,إكسسوارات,1-8 سنوات,https://aliexpress.com/item/1020,1.60,1.30,👒,linear-gradient(135deg,#fbf0c9,#fdf8e4)
طقم العودة للمدرسة 5 قطع,أولادي,5-12 سنة,https://cjdropshipping.com/p/1021,9.50,5.50,🏫,linear-gradient(135deg,#d8e0f0,#eaf0fa)
جوارب قطنية مضادة للانزلاق 10 أزواج,إكسسوارات,0-3 سنوات,https://aliexpress.com/item/1022,3.10,2.20,🧦,linear-gradient(135deg,#f5e0d9,#fcefe9)
جاكيت شتوي مبطن ريش,أولادي,4-12 سنة,https://cjdropshipping.com/p/1023,10.80,5.90,🧣,linear-gradient(135deg,#dfe3ea,#eef1f6)
فستان قماش مطرز يدويًا,بناتي,2-7 سنوات,https://aliexpress.com/item/1024,7.20,4.30,🌸,linear-gradient(135deg,#f4d7dd,#fbebee)
